20240709	09:36:56	28a22450-e1f4-421f-b825-19742980fff6	Error: couldn't save the user to MongoDB	POST	/auth/register	undefined
20240709	14:56:02	2de7b82b-c3c9-4f8b-ad5d-9faf5a231973	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/favicon.ico	undefined
20240709	14:56:24	8080bfdd-6b71-4a4a-ae89-1c5b80a84738	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/	undefined
20240709	14:56:24	103c3aaf-b34d-4f8c-9b5a-fef7e309e6de	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/favicon.ico	undefined
20240709	14:56:35	8db66225-2386-4c5e-bb8f-9938f87cca1f	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/dkdk	undefined
20240709	14:56:35	28bd2ffb-c3b8-4119-963b-d1969c81eb06	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/favicon.ico	undefined
20240709	15:06:56	553df522-9222-49bf-a86a-ef702103a577	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/dkdk	undefined
20240709	15:06:56	d6015d18-314f-4505-8ca4-5e710cd57239	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/favicon.ico	undefined
20240709	15:06:58	b63cfba2-a981-43dd-a772-065a70fe514c	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/dkdk	undefined
20240709	15:06:58	f181f235-ee8e-4fac-b54b-666570a0825b	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/favicon.ico	undefined
20240709	15:07:02	8eec8e35-0606-4eea-9965-a4a6418c8095	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/	undefined
20240709	15:07:02	7902728b-fb1d-4fb7-8322-64bd4c727c65	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/favicon.ico	undefined
20240709	15:10:29	5994a030-a677-4328-ba38-e7a5c4db6f4b	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/	undefined
20240709	15:10:29	41df0cb1-b6a7-48a4-9fc2-57166f954b0f	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/favicon.ico	undefined
20240709	15:10:34	ebcccfd9-503f-40e3-9435-fbe03070dfa1	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/kkk	undefined
20240709	15:10:34	8462d434-1e2a-44ad-bff2-87b86a9d3996	Error: ENOENT: no such file or directory, stat 'C:\Users\benzm\OneDrive\Documents\directED-main\FINALE\PIPELINE-beta\backend-piped\src\controllers\views\404.html'	GET	/favicon.ico	undefined
